Unlocks (moon),,,
Moon Shoes Unlocks ,,,
Name ,Goal ,Effect ,Reference 
Ripped T-Shirts ,350,Profit x3 ,
Dramatic Lighting ,400,Profit x3 ,
Who Wolf? ,450,Profit x3 ,
What-wolves ,500,Profit x3 ,
A Hairy Situation ,600,Profit x3 ,
Otherkin From Another Mother ,700,Profit x3 ,
Wash And Wear-Wolf ,800,Profit x3 ,
Sheep's Clothing Boutique ,900,Profit x3 ,"Reference to ""a wolf in sheep's clothing"" idiom from the Bible "
Hardware-wolves ,1000,Profit x3 ,
Fangs For Everything ,1200,Profit x3 ,
Werewolf Of Walstreet ,1400,Profit x3 ,The Wolf Of Wall Street (Film) 
Eclipse Warning System ,1600,Profit x3 ,
Howl's It Going? ,1800,Profit x3 ,
No Red Hood Zone ,2000,Profit x3 ,Little Red Riding Hood reference 
Aware Wolf ,2300,Profit x3 ,
Eclipse Proof Condos ,2600,Profit x3 ,
Bad Moon Rising ,2900,Profit x33 ,Bad Moon Rising (Song) 
Howl Rude ,3200,Profit x33 ,
Vampire Tourists ,3500,Profit x9876543210 ,
Don't Bite The Bullet ,3800,Profit x33 ,Bite The Bullet - Machine Head 
Blood Moon ,4100,Profit x33 ,Total Lunar Eclipse 
Giant Laser Unlocks ,,,
Name ,Goal ,Effect ,Reference 
MWA HA HA HA ,50,Profit x75 ,
Shark Tank Installation ,100,Profit x75 ,Austin Powers: International Man of Mystery (1997) (Film) 
Laser Sight ,200,Profit x75 ,
Orbital Obliteration ,300,Profit x75 ,
Head Attachments ,400,Profit x75 ,
ZAP! ,500,Profit x75 ,
Fluffy Cat Auditions ,600,Profit x75 ,
Laser Disc Decor ,700,Profit x75 ,
Laser Vision ,800,Profit x75 ,
All The Photons ,900,Profit x75 ,
Judo Chop ,1000,Profit x75 ,Austin Powers: International Man of Mystery (1997) (Film) 
Preparation I ,1111,Profit x75 ,"Austin Powers: International Man of Mystery (1997) (Film) and Preparation H, a hemorrhoid cream "
Capitalist Unlocks ,,,
Name ,Goal ,Effect ,Reference 
Finally ,1,Profit speed of all investments doubled ,
Now You're Cooking With N204 ,5,Profit speed of all investments doubled ,"""Cooking with Gas"" (N2O4 being Nitrogen Tetroxide - Rocketfuel) "
Special Relativity ,25,Profit speed of all investments doubled ,Special Relativity was a theory by Albert Einstein 
Just A Phase ,50,Profit speed of all investments doubled ,
Dark Side Of The Moon ,75,Profit speed of all investments doubled ,Pink Floyd's Album 
Miami Over Moon ,100,Profit speed of all investments doubled ,Moon Over Miami - movie 
Luny Luna ,150,Profit speed of all investments doubled ,
Apollo-getic ,200,Profit speed of all investments doubled ,Reference to Apollo spacecraft 
Case Of The Moondays ,250,Profit speed of all investments doubled ,Case of the Mondays - phrase used to describe someone that has a bad mood when he or she comes to work or school on Mondays.  
The Moon-arch ,300,Profit speed of all investments doubled ,
Shiny Moonocle ,350,Profit speed of all investments doubled ,
Moonotheism ,400,Profit speed of all investments doubled ,Monotheism is the belief in one god 
Gany-mead ,450,Profit speed of all investments doubled ,Ganymed - Moon of Jupiter 
Titan-ic Achievement ,500,Profit speed of all investments doubled ,"Titan, Saturn's largest moon "
Callisto-riffic ,600,Profit speed of all investments doubled ,"Callisto, one of Jupiter's moons "
I/O ,700,Profit speed of all investments doubled ,"Io, one of Jupiter's moons "
Europa Opa ,800,Profit speed of all investments doubled ,"Europa, one of Jupiter's moons "
Tri-tons Of Fun ,900,Profit speed of all investments doubled ,"Triton, Neptune's largest moon "
Charon Is Caring ,1000,Profit speed of all investments doubled ,Charon is a moon of Pluto 
Moonumental Achievement ,1111,Profit speed of all investments doubled ,
